round	score	token_count	status	description
0	30/30	4342	keep	baseline
1	26/30	3207	discard	1135 chars shorter
2	28/30	4452	discard	110 chars longer
3	25/30	4205	discard	137 chars shorter
4	27/30	3521	discard	821 chars shorter
5	29/30	2882	discard	rewrite rejected: 2882 chars (34% smaller)
6	29/30	1406	discard	rewrite rejected: 1406 chars (68% smaller)
7	29/30	4423	discard	81 chars longer
8	29/30	4454	discard	112 chars longer
9	29/30	4500	discard	158 chars longer
10	29/30	721	discard	rewrite rejected: 721 chars (83% smaller)
11	29/30	1671	discard	rewrite rejected: 1671 chars (62% smaller)
12	29/30	498	discard	rewrite rejected: 498 chars (89% smaller)
13	29/30	4497	discard	155 chars longer
14	29/30	2132	discard	rewrite rejected: 2132 chars (51% smaller)
15	28/30	4483	discard	141 chars longer
